project,source,long,lat,date,subset,depth,temp,chltot,chl0.2,chl2,chl20
AMT 2,,-8.1,48.75,142,TEMP,-30,11.59,1.85785,0.3759,0.32131,1.16064
AMT 2,,-8.1,48.75,142,TEMP,-50,11.23,0.8486,0.08239,0.15242,0.61379
AMT3,,-18.21,47.37,268,TEMP,-7,16.37,0.61417,0.31434,0.21425,0.08557
AMT3,,-18.21,47.37,268,TEMP,-20,16.37,0.55125,0.28003,0.20282,0.06841
AMT3,,-18.21,47.37,268,TEMP,-30,16.37,0.51122,0.25715,0.1971,0.05697
AMT3,,-18.21,47.37,268,TEMP,-40,14.9,0.25099,0.09129,0.11702,0.04267
AMT3,,-18.21,47.37,268,TEMP,-60,13.54,0.2853,0.20568,0.06269,0.01694
AMT3,Mara_„n et al,-19.99,42.72,269,TEMP,-7,19.17,0.14804,0.09415,0.04839,0.0055
AMT3,,-19.99,42.72,269,TEMP,-20,18.89,0.23955,0.1399,0.05411,0.04553
AMT3,,-19.99,42.72,269,TEMP,-30,18.77,0.27672,0.17994,0.07413,0.02265
AMT3,,-19.99,42.72,269,TEMP,-40,18.15,0.33106,0.18852,0.09415,0.04839
AMT3,,-19.99,42.72,269,TEMP,-50,15.68,0.4912,0.29719,0.1256,0.06841
AMT3,,-19.99,42.72,269,TEMP,-60,14.26,0.28816,0.15706,0.08557,0.04553
AMT3,,-20.01,38.17,270,OLIGO,-7,22,0.07082,0.04839,0.01694,0.0055
AMT3,,-20.01,38.17,270,OLIGO,-20,21.95,0.07569,0.05411,0.01694,0.00464
AMT3,,-20.01,38.17,270,OLIGO,-30,21.98,0.11658,0.06269,0.04839,0.0055
AMT3,,-20.01,38.17,270,OLIGO,-40,22.03,0.12258,0.09129,0.02551,0.00578
AMT3,,-20.01,38.17,270,OLIGO,-50,20.18,0.15061,0.11131,0.03266,0.00664
AMT3,,-20.01,38.17,270,OLIGO,-60,17.79,0.20151,0.1542,0.03981,0.0075
AMT3,,-20.01,38.17,270,OLIGO,-80,15.03,0.28959,0.22283,0.05125,0.01551
AMT3,,-21.81,29.5,272,OLIGO,-7,24.45,0.04795,0.02837,0.01522,0.00435
AMT3,,-21.81,29.5,272,OLIGO,-40,24.42,0.05996,0.03695,0.01894,0.00407
AMT3,,-21.81,29.5,272,OLIGO,-60,21.96,0.09771,0.06555,0.02837,0.00378
AMT3,,-21.81,29.5,272,OLIGO,-80,20.11,0.14117,0.10559,0.03123,0.00435
AMT3,,-21.81,29.5,272,OLIGO,-100,19.06,0.24355,0.19996,0.03981,0.00378
AMT3,,-21.81,29.5,272,OLIGO,-110,18.58,0.2547,0.21711,0.03123,0.00635
AMT3,,-21.81,29.5,272,OLIGO,-120,18.06,0.16319,0.13704,0.02065,0.0055
AMT3,,-21.4,24.68,273,OLIGO,-7,24.76,0.12401,0.08557,0.0278,0.01064
AMT3,,-21.4,24.68,273,OLIGO,-40,24.35,0.10343,0.06269,0.03495,0.00578
AMT3,,-21.4,24.68,273,OLIGO,-60,23.11,0.13746,0.09987,0.03409,0.00349
AMT3,,-21.4,24.68,273,OLIGO,-80,20.75,0.19665,0.14276,0.04553,0.00836
AMT3,,-21.4,24.68,273,OLIGO,-90,20.03,0.25756,0.20854,0.04267,0.00635
AMT3,,-21.4,24.68,273,OLIGO,-100,19.61,0.47261,0.39156,0.06555,0.01551
AMT3,,-21.4,24.68,273,OLIGO,-120,19.31,0.17177,0.10559,0.05411,0.01207
AMT3,,-20.56,20.07,274,OLIGO,-7,24.76,0.2996,0.10559,0.06841,0.1256
AMT3,,-20.56,20.07,274,OLIGO,-20,24.68,0.31104,0.12846,0.06555,0.11702
AMT3,,-20.56,20.07,274,OLIGO,-30,24.54,0.42543,0.21711,0.09987,0.10845
AMT3,,-20.56,20.07,274,OLIGO,-40,24.41,0.6828,0.31148,0.16564,0.20568
AMT3,,-20.56,20.07,274,OLIGO,-50,21.6,0.43401,0.25143,0.11988,0.06269
AMT3,,-20.55,12.76,276,OLIGO,-7,28.35,0.12573,0.10644,0.01007,0.00921
AMT3,,-20.55,12.76,276,OLIGO,-30,23.46,0.19293,0.13704,0.04553,0.01036
AMT3,,-20.55,12.76,276,OLIGO,-40,20.54,0.29388,0.11988,0.1399,0.03409
AMT3,,-20.55,12.76,276,OLIGO,-50,18.39,0.60845,0.38012,0.1399,0.08843
AMT3,,-20.55,12.76,276,OLIGO,-60,17.19,0.52838,0.29433,0.09415,0.1399
AMT3,,-20.55,12.76,276,OLIGO,-80,15.86,0.25956,0.14562,0.05125,0.06269
AMT3,,-22.28,9.05,277,ECUAT,-7,28.22,0.17806,0.11417,0.0298,0.03409
AMT3,,-22.28,9.05,277,ECUAT,-20,28.09,0.18664,0.11988,0.03095,0.03581
AMT3,,-22.28,9.05,277,ECUAT,-30,27.05,0.25956,0.19996,0.05125,0.00836
AMT3,,-22.28,9.05,277,ECUAT,-40,22.74,0.31676,0.23713,0.06841,0.01122
AMT3,,-22.28,9.05,277,ECUAT,-50,19.8,0.57728,0.38584,0.13161,0.05983
